Engine,Base_Experiment,Clean_Accuracy_Mean,Clean_Accuracy_Std,Orig_Accuracy_Mean,Orig_Accuracy_Std,Expected_Instances_Total,Recorded_Instances_Avg
Qwen/Qwen2.5-32B-Instruct_vllm,easy_actions,0.05333333333333334,0.0028867513459481246,0.05333333333333334,0.0028867513459481246,200.0,200.0
Qwen/Qwen2.5-32B-Instruct_vllm,easy_names,0.22666666666666666,0.018929694486000914,0.22666666666666666,0.018929694486000914,200.0,200.0
Qwen/Qwen2.5-32B-Instruct_vllm,easy_objects,0.275,0.0050000000000000044,0.275,0.0050000000000000044,200.0,200.0
Qwen/Qwen2.5-32B-Instruct_vllm,easy_predicates,0.15666666666666665,0.010408329997330677,0.15666666666666665,0.010408329997330677,200.0,200.0
Qwen/Qwen2.5-32B-Instruct_vllm,hard_actions_objects_names,0.03,0.0,0.03,0.0,200.0,200.0
Qwen/Qwen2.5-32B-Instruct_vllm,hard_actions_predicates_names,0.01,0.0,0.01,0.0,200.0,200.0
Qwen/Qwen2.5-32B-Instruct_vllm,hard_actions_predicates_objects,0.045000000000000005,0.005,0.045000000000000005,0.005,200.0,200.0
Qwen/Qwen2.5-32B-Instruct_vllm,hard_predicates_objects_names,0.06666666666666667,0.0028867513459481303,0.06666666666666667,0.0028867513459481303,200.0,200.0
Qwen/Qwen2.5-32B-Instruct_vllm,medium_actions_names,0.05833333333333333,0.002886751345948128,0.05833333333333333,0.002886751345948128,200.0,200.0
Qwen/Qwen2.5-32B-Instruct_vllm,medium_actions_objects,0.051666666666666666,0.0028867513459481303,0.051666666666666666,0.0028867513459481303,200.0,200.0
Qwen/Qwen2.5-32B-Instruct_vllm,medium_actions_predicates,0.041666666666666664,0.0028867513459481246,0.041666666666666664,0.0028867513459481246,200.0,200.0
Qwen/Qwen2.5-32B-Instruct_vllm,medium_objects_names,0.21333333333333335,0.007637626158259737,0.21333333333333335,0.007637626158259737,200.0,200.0
Qwen/Qwen2.5-32B-Instruct_vllm,medium_predicates_names,0.16,0.008660254037844393,0.16,0.008660254037844393,200.0,200.0
Qwen/Qwen2.5-32B-Instruct_vllm,medium_predicates_objects,0.17166666666666666,0.010408329997330658,0.17166666666666666,0.010408329997330658,200.0,200.0
Qwen/Qwen2.5-32B-Instruct_vllm,superhard,0.03,0.0,0.03,0.0,200.0,200.0
deepseek/deepseek-r1-distill-llama-70b,easy_actions,0.42,0.020000000000000004,0.3933333333333333,0.02081665999466133,200.0,198.0
deepseek/deepseek-r1-distill-llama-70b,easy_names,0.6749999999999999,0.026457513110645852,0.47000000000000003,0.3729276069158732,200.0,199.33333333333334
deepseek/deepseek-r1-distill-llama-70b,easy_objects,0.47333333333333333,0.0028867513459481273,0.35333333333333333,0.20641786098429887,200.0,198.66666666666666
deepseek/deepseek-r1-distill-llama-70b,easy_predicates,0.35833333333333334,0.010408329997330679,0.35833333333333334,0.010408329997330679,200.0,196.0
deepseek/deepseek-r1-distill-llama-70b,hard_actions_objects_names,0.39666666666666667,0.0057735026918962675,0.2783333333333333,0.20641786098429887,200.0,194.66666666666666
deepseek/deepseek-r1-distill-llama-70b,hard_actions_predicates_names,0.085,0.005000000000000001,0.065,0.03905124837953328,200.0,196.0
deepseek/deepseek-r1-distill-llama-70b,hard_actions_predicates_objects,0.13333333333333333,0.040414518843273795,0.07833333333333332,0.05484827557301445,200.0,182.66666666666666
deepseek/deepseek-r1-distill-llama-70b,hard_predicates_objects_names,0.18666666666666668,0.010408329997330677,0.1366666666666667,0.08431093246627827,200.0,196.0
deepseek/deepseek-r1-distill-llama-70b,medium_actions_names,0.44333333333333336,0.053463383107818126,0.32,0.21017849556983703,200.0,196.66666666666666
deepseek/deepseek-r1-distill-llama-70b,medium_actions_objects,0.3466666666666667,0.028431203515386635,0.22999999999999998,0.1829617446353199,200.0,196.0
deepseek/deepseek-r1-distill-llama-70b,medium_actions_predicates,0.12666666666666668,0.015275252316519475,0.08666666666666667,0.05859465277082316,200.0,196.66666666666666
deepseek/deepseek-r1-distill-llama-70b,medium_objects_names,0.5466666666666667,0.04856267428111152,0.3866666666666667,0.2911328448205962,200.0,198.66666666666666
deepseek/deepseek-r1-distill-llama-70b,medium_predicates_names,0.36999999999999994,0.03774917217635373,0.26499999999999996,0.18993419913222578,200.0,197.33333333333334
deepseek/deepseek-r1-distill-llama-70b,medium_predicates_objects,0.39166666666666666,0.012583057392117921,0.2683333333333333,0.1894949427645322,200.0,196.0
deepseek/deepseek-r1-distill-llama-70b,superhard,0.045000000000000005,0.0,0.034999999999999996,0.017320508075688773,200.0,194.0
gpt-4.1-mini,easy_actions,0.11833333333333333,0.011547005383792518,0.11166666666666665,0.01154700538379252,200.0,200.0
gpt-4.1-mini,easy_names,0.30666666666666664,0.0160727512683216,0.2916666666666667,0.03511884584284245,200.0,200.0
gpt-4.1-mini,easy_objects,0.3516666666666666,0.0076376261582597384,0.2833333333333333,0.07505553499465135,200.0,200.0
gpt-4.1-mini,easy_predicates,0.056666666666666664,0.01607275126832159,0.043333333333333335,0.007637626158259732,200.0,200.0
gpt-4.1-mini,hard_actions_objects_names,0.07166666666666667,0.014433756729740645,0.06666666666666667,0.012583057392117918,200.0,200.0
gpt-4.1-mini,hard_actions_predicates_names,0.005,0.005,0.0016666666666666668,0.002886751345948129,200.0,200.0
gpt-4.1-mini,hard_actions_predicates_objects,0.005,0.0,0.006666666666666667,0.0028867513459481286,200.0,200.0
gpt-4.1-mini,hard_predicates_objects_names,0.09166666666666667,0.012583057392117916,0.08333333333333333,0.02020725942163689,200.0,200.0
gpt-4.1-mini,medium_actions_names,0.06833333333333333,0.03214550253664318,0.049999999999999996,0.005000000000000002,200.0,200.0
gpt-4.1-mini,medium_actions_objects,0.15,0.013228756555322952,0.12833333333333333,0.017559422921421226,200.0,200.0
gpt-4.1-mini,medium_actions_predicates,0.0016666666666666668,0.002886751345948129,0.0,0.0,200.0,200.0
gpt-4.1-mini,medium_objects_names,0.30833333333333335,0.029297326385411566,0.26666666666666666,0.007637626158259734,200.0,200.0
gpt-4.1-mini,medium_predicates_names,0.06666666666666667,0.007637626158259732,0.05833333333333333,0.0028867513459481303,200.0,200.0
gpt-4.1-mini,medium_predicates_objects,0.13833333333333334,0.020207259421636904,0.1366666666666667,0.02254624876411448,200.0,200.0
gpt-4.1-mini,superhard,0.005,0.008660254037844387,0.0033333333333333335,0.002886751345948129,200.0,200.0
gpt-5-mini,easy_actions,0.9366666666666666,0.012583057392117883,0.9216666666666667,0.03685557397916,200.0,200.0
gpt-5-mini,easy_names,0.84,0.03500000000000006,0.835,0.02645751311064593,200.0,200.0
gpt-5-mini,easy_objects,0.9383333333333334,0.002886751345948059,0.91,0.04769696007084728,200.0,200.0
gpt-5-mini,easy_predicates,0.9666666666666667,0.0028867513459481233,0.9583333333333334,0.01607275126832161,200.0,200.0
gpt-5-mini,hard_actions_objects_names,0.9216666666666667,0.012583057392117913,0.915,0.02291287847477922,200.0,200.0
gpt-5-mini,hard_actions_predicates_names,0.9483333333333333,0.024664414311581187,0.9249999999999999,0.065,200.0,200.0
gpt-5-mini,hard_actions_predicates_objects,0.5750000000000001,0.03464101615137751,0.5633333333333334,0.048045117684665226,200.0,200.0
gpt-5-mini,hard_predicates_objects_names,0.9333333333333332,0.024664414311581187,0.9183333333333333,0.023094010767584987,200.0,200.0
gpt-5-mini,medium_actions_names,0.9766666666666666,0.007637626158259777,0.9483333333333333,0.05107184482014857,200.0,200.0
gpt-5-mini,medium_actions_objects,0.935,0.008660254037844338,0.8466666666666667,0.14433756729740646,200.0,200.0
gpt-5-mini,medium_actions_predicates,0.815,0.03605551275463981,0.7883333333333332,0.08144527815247074,200.0,200.0
gpt-5-mini,medium_objects_names,0.8966666666666666,0.012583057392117913,0.8883333333333333,0.025658007197234486,200.0,200.0
gpt-5-mini,medium_predicates_names,0.96,0.004999999999999977,0.93,0.04769696007084726,200.0,200.0
gpt-5-mini,medium_predicates_objects,0.9583333333333334,0.015275252316519468,0.94,0.03774917217635373,200.0,200.0
gpt-5-mini,superhard,0.5283333333333333,0.023629078131263026,0.465,0.01322875655532295,200.0,200.0
meta-llama/llama-3.3-70b-instruct,easy_actions,0.14333333333333334,0.011547005383792512,0.09500000000000001,0.07858116822750856,200.0,200.0
meta-llama/llama-3.3-70b-instruct,easy_names,0.61,0.02783882181415011,0.40499999999999997,0.333878720495931,200.0,199.66666666666666
meta-llama/llama-3.3-70b-instruct,easy_objects,0.5916666666666667,0.028867513459481322,0.4033333333333333,0.3415528265632321,200.0,200.0
