Timestamp,Run,Engine,Config,Task,Expected Instances,Recorded Instances,Orig Correct,Orig Accuracy,Clean Correct,Clean Accuracy
2026-05-24 18:40:39,run1,qwen/qwen3-32b_reasoning,blocksworld_nonce_easy_actions_row1,task_1_plan_generation_zero_shot,40,40,0,0.0,34,0.85
2026-05-24 18:41:02,run1,qwen/qwen3-32b_reasoning,blocksworld_nonce_easy_actions_row1_160,task_1_plan_generation_zero_shot,160,160,1,0.00625,123,0.76875
2026-05-24 18:41:14,run1,qwen/qwen3-32b_reasoning,blocksworld_nonce_easy_names_row1,task_1_plan_generation_zero_shot,40,40,0,0.0,30,0.75
2026-05-24 18:41:31,run1,qwen/qwen3-32b_reasoning,blocksworld_nonce_easy_names_row1_160,task_1_plan_generation_zero_shot,160,160,1,0.00625,134,0.8375
2026-05-24 18:41:44,run1,qwen/qwen3-32b_reasoning,blocksworld_nonce_easy_objects_row1,task_1_plan_generation_zero_shot,40,40,0,0.0,20,0.5
2026-05-24 18:42:04,run1,qwen/qwen3-32b_reasoning,blocksworld_nonce_easy_objects_row1_160,task_1_plan_generation_zero_shot,160,160,3,0.01875,100,0.625
2026-05-24 18:42:22,run1,qwen/qwen3-32b_reasoning,blocksworld_nonce_easy_predicates_row1,task_1_plan_generation_zero_shot,40,40,0,0.0,19,0.475
2026-05-24 18:42:46,run1,qwen/qwen3-32b_reasoning,blocksworld_nonce_medium_actions_names_row1,task_1_plan_generation_zero_shot,40,40,0,0.0,36,0.9
2026-05-24 18:43:18,run1,qwen/qwen3-32b_reasoning,blocksworld_nonce_medium_actions_names_row1_160,task_1_plan_generation_zero_shot,160,160,2,0.0125,124,0.775
2026-05-24 18:43:30,run1,qwen/qwen3-32b_reasoning,blocksworld_nonce_medium_actions_objects_row1,task_1_plan_generation_zero_shot,40,40,1,0.025,26,0.65
2026-05-24 18:44:05,run1,qwen/qwen3-32b_reasoning,blocksworld_nonce_medium_actions_objects_row1_160,task_1_plan_generation_zero_shot,160,160,2,0.0125,106,0.6625
2026-05-24 18:44:33,run1,qwen/qwen3-32b_reasoning,blocksworld_nonce_medium_actions_predicates_row1,task_1_plan_generation_zero_shot,40,40,1,0.025,5,0.125
2026-05-24 18:45:46,run1,qwen/qwen3-32b_reasoning,blocksworld_nonce_medium_actions_predicates_row1_160,task_1_plan_generation_zero_shot,160,155,6,0.0375,21,0.13125
