Engine,Base_Experiment,Run,Orig Correct,Clean Correct,Recorded Instances,Expected Instances,Run_Orig_Accuracy,Run_Clean_Accuracy
Qwen/Qwen2.5-32B-Instruct_vllm,easy_actions,run1,10,10,200,200,0.05,0.05
Qwen/Qwen2.5-32B-Instruct_vllm,easy_actions,run2,11,11,200,200,0.055,0.055
Qwen/Qwen2.5-32B-Instruct_vllm,easy_actions,run3,11,11,200,200,0.055,0.055
Qwen/Qwen2.5-32B-Instruct_vllm,easy_names,run1,48,48,200,200,0.24,0.24
Qwen/Qwen2.5-32B-Instruct_vllm,easy_names,run2,47,47,200,200,0.235,0.235
Qwen/Qwen2.5-32B-Instruct_vllm,easy_names,run3,41,41,200,200,0.205,0.205
Qwen/Qwen2.5-32B-Instruct_vllm,easy_objects,run1,56,56,200,200,0.28,0.28
Qwen/Qwen2.5-32B-Instruct_vllm,easy_objects,run2,55,55,200,200,0.275,0.275
Qwen/Qwen2.5-32B-Instruct_vllm,easy_objects,run3,54,54,200,200,0.27,0.27
Qwen/Qwen2.5-32B-Instruct_vllm,easy_predicates,run1,33,33,200,200,0.165,0.165
Qwen/Qwen2.5-32B-Instruct_vllm,easy_predicates,run2,32,32,200,200,0.16,0.16
Qwen/Qwen2.5-32B-Instruct_vllm,easy_predicates,run3,29,29,200,200,0.145,0.145
Qwen/Qwen2.5-32B-Instruct_vllm,hard_actions_objects_names,run1,6,6,200,200,0.03,0.03
Qwen/Qwen2.5-32B-Instruct_vllm,hard_actions_objects_names,run2,6,6,200,200,0.03,0.03
Qwen/Qwen2.5-32B-Instruct_vllm,hard_actions_objects_names,run3,6,6,200,200,0.03,0.03
Qwen/Qwen2.5-32B-Instruct_vllm,hard_actions_predicates_names,run1,2,2,200,200,0.01,0.01
Qwen/Qwen2.5-32B-Instruct_vllm,hard_actions_predicates_names,run2,2,2,200,200,0.01,0.01
Qwen/Qwen2.5-32B-Instruct_vllm,hard_actions_predicates_names,run3,2,2,200,200,0.01,0.01
Qwen/Qwen2.5-32B-Instruct_vllm,hard_actions_predicates_objects,run1,10,10,200,200,0.05,0.05
Qwen/Qwen2.5-32B-Instruct_vllm,hard_actions_predicates_objects,run2,9,9,200,200,0.045,0.045
Qwen/Qwen2.5-32B-Instruct_vllm,hard_actions_predicates_objects,run3,8,8,200,200,0.04,0.04
Qwen/Qwen2.5-32B-Instruct_vllm,hard_predicates_objects_names,run1,13,13,200,200,0.065,0.065
Qwen/Qwen2.5-32B-Instruct_vllm,hard_predicates_objects_names,run2,14,14,200,200,0.07,0.07
Qwen/Qwen2.5-32B-Instruct_vllm,hard_predicates_objects_names,run3,13,13,200,200,0.065,0.065
Qwen/Qwen2.5-32B-Instruct_vllm,medium_actions_names,run1,12,12,200,200,0.06,0.06
Qwen/Qwen2.5-32B-Instruct_vllm,medium_actions_names,run2,12,12,200,200,0.06,0.06
Qwen/Qwen2.5-32B-Instruct_vllm,medium_actions_names,run3,11,11,200,200,0.055,0.055
Qwen/Qwen2.5-32B-Instruct_vllm,medium_actions_objects,run1,11,11,200,200,0.055,0.055
Qwen/Qwen2.5-32B-Instruct_vllm,medium_actions_objects,run2,10,10,200,200,0.05,0.05
